id;titulo;tipo_nodo;detalles_completos;semana_inicio;semana_fin;dependencias;justificacion_dependencia
U8.2;Industria del Ácido Nítrico y Derivados Nitrogenados;tematico;"Propiedades del ácido nítrico, Tecnología de plantas de fabricación de ácido nítrico, Propiedades y fabricación de urea, Fabricación de nitrato de amonio, Fabricación de sulfato de amonio";10;11;U8.1;El ácido nítrico se fabrica industrialmente a partir de amoníaco por oxidación catalítica
U9.1;Industria del Ácido Sulfúrico;tematico;"Propiedades del azufre, ácido sulfúrico, óleum y óxidos de azufre, Tostación del mineral y purificación de gases, Método de contacto, Usos industriales del ácido sulfúrico";12;12;;
U10.1;Industria del Vidrio y de la Cerámica;tematico;"Materias primas y propiedades del vidrio, Temperaturas de fabricación, Tipos de vidrio, Fabricación de botellas y vidrio plano, Recocido y templado; Materias primas del bizcocho cerámico, Clasificación de arcillas, Proceso de fabricación cerámica, Horno cerámico, Refractarios cerámicos";13;13;;
U11.1;Industria del Cemento;tematico;"Cemento Portland, Materia prima, Fabricación de clinker, Sinterización, Horno de clinkerización, Propiedades del cemento, Fraguado, Clasificación de cementos Portland y puzolánico";14;14;;
U12.1;Industria del Azúcar y del Almidón;tematico;"Composición de la caña de azúcar, Fabricación de azúcar cruda y refinada, Aprovechamiento de melaza y residuos, Composición del grano de maíz, Amilosa y amilopectina, Obtención de almidón y dextrina, Almidones modificados";14;14;;
U13.1;Industria de Bebidas Alcohólicas;tematico;"Industria de la cerveza: composición de la cebada, fermentación industrial, tecnología de fabricación; Industria del vino: composición del zumo de uva, enzimas naturales, fabricación de vino tinto y blanco";15;15;;
U13.2;Industria Textil;tematico;"Tipos de fibras, Industria del algodón: hilandería, tejeduría, tintorería y acabado";15;15;;
U13.3;Industria de Plásticos y Resinas;tematico;"Fabricación de polietileno y polipropileno, Resinas alquídicas, epóxicas, urea-formaldehído y fenol-formaldehído";15;15;;
LAB1;Visitas Técnicas a Plantas Industriales;laboratorio;"Seis visitas técnicas guiadas a plantas industriales, cada una evaluada con Test e Informe Técnico";2;15;;
PP;Promedio de Prácticas;evaluacion;"Promedio de las notas de las visitas técnicas, eliminando la nota más baja obtenida";15;15;LAB1;La nota de prácticas se calcula a partir de las visitas técnicas realizadas
EF;Examen Final;evaluacion;"Evaluación sumativa acumulada de las unidades VII a XIII: cloro-soda y carbonato de sodio, nitrógeno, ácido sulfúrico, vidrio-cerámica, cemento, azúcar-almidón, bebidas alcohólicas, textil y plásticos";16;16;U7.1,U8.2,U9.1,U10.1,U11.1,U12.1,U13.1,U13.2,U13.3;El examen final mide los conocimientos desarrollados en esta unidad | El examen final mide los conocimientos desarrollados en esta unidad | El examen final mide los conocimientos desarrollados en esta unidad | El examen final mide los conocimientos desarrollados en esta unidad | El examen final mide los conocimientos desarrollados en esta unidad | El examen final mide los conocimientos desarrollados en esta unidad | El examen final mide los conocimientos desarrollados en esta unidad | El examen final mide los conocimientos desarrollados en esta unidad | El examen final mide los conocimientos desarrollados en esta unidad
SUST;Examen Sustitutorio;evaluacion;"Examen sustitutorio que reemplaza la nota del examen parcial o del examen final";17;17;EP,EF;Evalúa de forma acumulada el contenido ya medido en el examen parcial | Evalúa de forma acumulada el contenido ya medido en el examen final
